124 371 184.62399 2
125 126 51.997898 2
125 131 109.095 2
125 182 485.16101 2
125 188 400.888 2
126 128 563.974 2
126 131 108.805 2
126 132 496.98001 2
127 128 37.6446 2
127 130 465.07101 2
128 129 135.439 2
129 182 162.27 2
130 132 751.56799 2
131 149 346.75699 2
132 134 378.89899 2
132 135 435.59698 2
133 135 837.14001 2
134 136 211.161 2
134 140 553.12701 2
134 150 275.431 2
135 137 377.194 2
135 138 267.685 2
136 138 237.53101 2
138 255 429.39001 2
139 140 271.89999 2
139 141 307.02701 2
140 144 88.161797 2
141 151 114.711 2
141 275 85.102898 2
141 276 175.19 2
142 143 239.155 2
142 144 310.13 2
143 145 26.5784 2
144 148 170.911 2
145 146 81.297096 1
146 147 24.541401 1
147 153 48.077702 1
147 154 42.5518 1
148 256 225.2657 2
149 150 248.60899 2
149 265 263.177 2
149 273 125.067 2
151 152 175.101 2
152 267 187.222 2
153 154 37.655201 1
153 267 78.284302 2
154 380 67.389503 1
155 156 293.715 2
155 212 168.771 2
155 224 422.379 2
156 159 162.63 2
156 376 172.263 2
157 158 31.166 1
157 227 52.7854 1
158 171 184.242 1
159 160 18.3641 1
159 212 336.004 2
159 230 86.501701 2
160 165 79.859497 1
161 162 99.124298 1
161 163 81.432503 1
162 172 43.090401 1
163 164 54.766899 1
164 171 124.632 1
164 174 69.993599 1
165 174 41.431499 1
166 167 96.227203 2
166 168 143.49699 2
166 266 122.959 2
167 378 92.050903 2
168 177 161.25101 2
169 170 82.921204 2
169 381 15000.0 2
170 171 79.014 2
172 173 87.748596 1
173 228 259.5 2
173 294 238.621 2
175 176 246.532 2
175 177 114.788 2
176 178 193.54401 2
178 277 203.14101 2
178 278 149.319 2
179 182 390.13599 2
179 189 431.319 2
180 181 87.672203 2
180 353 362.84201 2
181 184 67.2976 2
181 185 259.46701 2
181 186 210.40199 2
182 183 412.707 2
183 186 244.315 2
183 188 397.78101 2
183 189 464.10199 2
184 187 266.72501 2
185 354 104.52 2
187 188 477.79999 2
187 264 464.46701 2
188 265 440.33301 2
189 280 139.786 2
189 298 383.01401 2
190 191 161.63699 2
190 202 436.871 2
190 204 82.692596 2
191 192 105.394 2
191 193 182.8 2
